Data,Preço Médio,Emissor
2021-12-16,59.63778104,4998102
2021-12-17,60.34462152,5042242
2021-12-18,60.34462152,5042242
2021-12-19,60.34462152,5042242
2021-12-20,59.36257832,5313145
2021-12-21,60.24226883,5562590
2021-12-22,59.11369643,5532116
2021-12-23,59.62194146,5376964
2021-12-24,59.97696827,5118220
2021-12-25,59.97696827,5118220
2021-12-26,59.97696827,5118220
2021-12-27,60.29705016,5123679
2021-12-28,60.32749283,5115606
2021-12-29,59.51351672,5031022
2021-12-30,58.6712924,5022853
2021-12-31,58.6712924,5022853
2022-01-01,58.6712924,5022853
2022-01-02,58.6712924,5022853
2022-01-03,58.6712924,5022853
2022-01-04,58.6712924,5022853
2022-01-05,45.45867444,5141363
2022-01-06,52.57765878,5247558
2022-01-07,53.33302413,5248977
2022-01-08,53.33302413,5248977
2022-01-09,53.33302413,5248977
2022-01-10,53.38237614,5297071
2022-01-11,54.86877402,5491376
2022-01-12,55.64151205,5541855
2022-01-13,55.65982127,5534238
2022-01-14,55.69435254,5509581
2022-01-15,55.69435254,5509581
2022-01-16,55.69435254,5509581
2022-01-17,56.29864198,5540794
2022-01-18,57.09783767,5509543
2022-01-19,60.26977971,6008534
2022-01-20,62.11679732,6015704
2022-01-21,66.00115944,5942723
2022-01-22,66.00115944,5942723
2022-01-23,66.00115944,5942723
2022-01-24,69.006079,5734846
2022-01-25,69.94877223,5659099
2022-01-26,69.95028279,5719442
2022-01-27,69.74444011,5721479
2022-01-28,70.45017675,5685656
2022-01-29,70.45017675,5685656
2022-01-30,70.45017675,5685656
2022-01-31,70.49318785,5465440
2022-02-01,71.39186454,5459383
2022-02-02,72.93960222,5459577
2022-02-03,74.29223552,5446257
2022-02-04,77.3731976,5348718
2022-02-05,77.3731976,5348718
2022-02-06,77.3731976,5348718
2022-02-07,78.79885119,5190785
2022-02-08,80.23665531,5111262
2022-02-09,80.36504602,4982760
2022-02-10,82.58781213,5079046
2022-02-11,85.12099138,5005084
2022-02-12,85.12099138,5005084
2022-02-13,85.12099138,5005084
2022-02-14,89.3525358,4823052
2022-02-15,89.80048764,4681425
2022-02-16,91.96681196,4679978
2022-02-17,92.88040173,4641407
2022-02-18,95.30281992,4717043
2022-02-19,95.30281992,4717043
2022-02-20,95.30281992,4717043
2022-02-21,93.80560699,4718499
2022-02-22,94.10894951,4747117
2022-02-23,95.64409422,5289863
2022-02-24,97.15498075,5317994
2022-02-25,98.89259227,5154292
2022-02-26,98.89259227,5154292
2022-02-27,98.89259227,5154292
2022-02-28,98.89259227,5154292
2022-03-01,98.89259227,5154292
2022-03-02,100.3383765,4877761
2022-03-03,101.3447472,4896126
2022-03-04,100.277397,4866800
2022-03-05,100.277397,4866800
2022-03-06,100.277397,4866800
2022-03-07,100.1593919,4894597
2022-03-08,98.667489,5011372
2022-03-09,98.09263798,5110999
2022-03-10,98.77238141,5143130
2022-03-11,98.0875364,5114458
2022-03-12,98.0875364,5114458
2022-03-13,98.0875364,5114458
2022-03-14,98.07383775,5112732
2022-03-15,98.02234731,5045345
2022-03-16,98.26145953,5018288
2022-03-17,98.58524288,4810630
2022-03-18,98.58524288,4810630
2022-03-19,98.58524288,4810630
2022-03-20,98.58524288,4810630
2022-03-21,99.85220357,4545973
2022-03-22,99.03163112,4503758
2022-03-23,98.52834083,4370549
2022-03-24,98.27812254,4400703
2022-03-25,97.89723239,4365620
2022-03-26,97.89723239,4365620
2022-03-27,97.89723239,4365620
2022-03-28,96.38274171,4353122
2022-03-29,95.35575099,4675411
2022-03-30,92.6257194,4799130
2022-03-31,92.55545497,4682646
2022-04-01,94.2605048,4453464
2022-04-02,94.2605048,4453464
2022-04-03,94.2605048,4453464
2022-04-04,93.53259617,4396052
2022-04-05,93.28140139,4438029
2022-04-06,94.25523099,4494650
2022-04-07,94.94151054,4473505
2022-04-08,99.23024554,4448915
2022-04-09,99.23024554,4448915
2022-04-10,99.23024554,4448915
2022-04-11,96.235474,3429874
2022-04-12,97.57670995,3614416
2022-04-13,98.36198195,3629240
2022-04-14,100.1901876,3571414
2022-04-15,100.1901876,3571414
2022-04-16,100.1901876,3571414
2022-04-17,100.1901876,3571414
2022-04-18,99.5893337,3275629
2022-04-19,99.59491345,3315207
