,Data,Preço Médio,Emissor
663,2022-02-20,95.30281992,4717043.0
664,2022-02-21,93.80560699,4718499.0
665,2022-02-22,94.10894951,4747117.0
666,2022-02-23,95.64409422,5289863.0
667,2022-02-24,97.15498075,5317994.0
668,2022-02-25,98.89259227,5154292.0
669,2022-02-26,98.89259227,5154292.0
670,2022-02-27,98.89259227,5154292.0
671,2022-02-28,98.89259227,5154292.0
672,2022-03-01,98.89259227,5154292.0
673,2022-03-02,100.3383765,4877761.0
674,2022-03-03,101.3447472,4896126.0
675,2022-03-04,100.277397,4866800.0
676,2022-03-05,100.277397,4866800.0
677,2022-03-06,100.277397,4866800.0
678,2022-03-07,100.1593919,4894597.0
679,2022-03-08,98.667489,5011372.0
680,2022-03-09,98.09263798,5110999.0
681,2022-03-10,98.77238141,5143130.0
682,2022-03-11,98.0875364,5114458.0
683,2022-03-12,98.0875364,5114458.0
